symbol,start_time,end_time,timeframe,open,high,low,close,volume,vah,val,mid,vpoc,kurtosis,skewness,profile_shape,volume_spike_ratio,hvns,lvns,untested_vpocs,vwap,profile_distribution,open_prev_profile,close_prev_profile,poor_high,poor_low
ESS,2025-04-01 11:45:00,2025-04-01 11:59:00,15min,5632.0,5641.25,5630.5,5638.25,7112.0,5640.25,5637.0,5635.875,5638.875,3.47585937960116,-1.5458581583696709,P-shape,0.72,"[5631.75, 5633.5]",[5635.13],"[5661.375, 5652.375, 5642.375, 5638.875]",5637.9326,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 12:00:00,2025-04-01 12:14:00,15min,5638.5,5639.25,5629.25,5629.5,6842.0,5638.0,5632.5,5634.25,5634.625,-0.23857264067930384,-0.6975476341394332,normal,0.99,[5629.5],[5632.0],"[5661.375, 5652.375, 5642.375, 5634.625]",5634.4356,{},Within Value Area,Below VAL,False,False
ESS,2025-04-01 12:15:00,2025-04-01 12:29:00,15min,5629.5,5632.25,5625.75,5627.75,5809.0,5631.25,5627.75,5629.0,5629.375,-0.9672558739740471,0.3647352168928222,normal,1.16,[],[],"[5661.375, 5652.375, 5642.375, 5634.625, 5629.375]",5629.3558,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 12:30:00,2025-04-01 12:44:00,15min,5627.75,5630.75,5618.0,5624.25,9721.0,5625.0,5619.25,5624.375,5621.375,1.2084417159729126,1.0288902180769361,normal,0.94,"[5628.25, 5630.63]",[5627.25],"[5661.375, 5652.375, 5642.375, 5634.625, 5621.375]",5622.9583,{},Within Value Area,Below VAL,False,False
ESS,2025-04-01 12:45:00,2025-04-01 12:59:00,15min,5624.25,5628.5,5621.0,5626.5,6211.0,5628.5,5625.0,5624.75,5626.875,-0.604957337608079,-0.8574430912591416,P-shape,0.9,[5621.5],[5624.37],"[5661.375, 5652.375, 5642.375, 5634.625, 5626.875]",5625.7893,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 13:00:00,2025-04-01 13:14:00,15min,5626.5,5633.0,5622.5,5630.25,8441.0,5630.75,5625.5,5627.75,5627.375,-1.3208758184350078,-0.252025489460866,double-distro,0.97,[5632.75],[],"[5661.375, 5652.375, 5642.375, 5634.625, 5627.375]",5628.4863,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 13:15:00,2025-04-01 13:29:00,15min,5630.25,5635.5,5621.5,5626.5,9880.0,5630.25,5623.25,5628.5,5625.125,-0.7621937307906164,0.7614381956133323,double-distro,1.36,"[5631.87, 5634.75]",[5630.87],"[5661.375, 5652.375, 5642.375, 5625.125]",5627.5254,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 13:30:00,2025-04-01 13:44:00,15min,5626.25,5633.0,5625.5,5628.75,11204.0,5631.0,5627.0,5629.25,5627.875,-0.403611256545223,0.22163659138895125,b-shape,1.64,[5633.0],[],"[5661.375, 5652.375, 5642.375, 5625.125, 5627.875]",5629.2009,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 13:45:00,2025-04-01 13:59:00,15min,5628.75,5637.25,5626.25,5634.75,10230.0,5637.5,5630.25,5631.75,5634.875,-1.009291919914955,-0.6804124055794073,double-distro,0.93,[5628.13],[5631.75],"[5661.375, 5652.375, 5642.375, 5625.125, 5634.875]",5632.7409,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 14:00:00,2025-04-01 14:14:00,15min,5635.0,5644.0,5634.25,5642.0,13075.0,5642.25,5637.5,5639.125,5639.375,-0.14337775520518203,-0.14817564301509964,normal,1.08,[5634.38],[5637.13],"[5661.375, 5652.375, 5625.125, 5639.375]",5639.6949,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 14:15:00,2025-04-01 14:29:00,15min,5642.25,5645.75,5637.75,5638.75,15944.0,5643.25,5639.0,5641.75,5640.375,-1.5312166359870796,-0.31698473642679864,double-distro,3.37,[5645.63],[],"[5661.375, 5652.375, 5625.125, 5640.375]",5641.4057,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 14:30:00,2025-04-01 14:44:00,15min,5638.75,5641.5,5623.0,5633.0,87070.0,5636.5,5628.25,5632.25,5633.625,-0.6203722083736944,0.13324672179705627,normal,0.59,"[5626.62, 5628.37]",[],"[5661.375, 5652.375, 5633.625]",5632.5055,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 14:45:00,2025-04-01 14:59:00,15min,5633.0,5650.0,5631.5,5636.5,68770.0,5650.0,5639.0,5640.75,5646.125,-1.3101919709198757,-0.34888994804179074,double-distro,0.6,"[5639.42, 5636.37]",[5642.25],"[5661.375, 5652.375, 5646.125]",5642.5913,{},Within Value Area,Within Value Area,False,False
ESS,2025-04-01 15:00:00,2025-04-01 15:14:00,15min,5636.75,5640.5,5605.75,5606.75,98216.0,5637.25,5615.5,5623.125,5628.625,-1.359146530567981,-0.01515481341725455,double-distro,0.64,"[5616.61, 5619.71]",[5622.88],"[5661.375, 5652.375, 5646.125, 5628.625]",5621.8331,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 15:15:00,2025-04-01 15:29:00,15min,5607.0,5622.0,5600.25,5615.0,67087.0,5617.0,5605.25,5611.125,5608.375,-1.0571576224725647,0.08393241866074115,double-distro,0.93,"[5616.57, 5619.62]",[],"[5661.375, 5652.375, 5646.125, 5628.625, 5608.375]",5611.6293,{},Below VAL,Below VAL,False,False
ESS,2025-04-01 15:30:00,2025-04-01 15:44:00,15min,5615.0,5650.5,5613.5,5643.75,74220.0,5639.5,5615.25,5632.0,5619.875,-1.4363198224937417,0.42242414287654284,double-distro,1.02,"[5638.82, 5635.13]",[5629.87],"[5661.375, 5652.375, 5608.375, 5619.875]",5632.0524,{},Within Value Area,Above VAH,False,False
ESS,2025-04-01 15:45:00,2025-04-01 15:59:00,15min,5643.75,5662.75,5638.75,5661.5,71514.0,5655.5,5640.75,5650.75,5644.375,-1.3793612705437828,-0.044604910197032326,double-distro,1.24,"[5654.38, 5661.38]",[5647.25],"[5608.375, 5619.875, 5644.375]",5651.0238,{},Above VAH,Above VAH,False,False
ESS,2025-04-01 16:00:00,2025-04-01 16:14:00,15min,5661.5,5679.25,5658.0,5678.75,62355.0,5672.75,5662.75,5668.625,5668.125,0.28706931073306485,0.6455999177866599,double-distro,1.3,"[5662.25, 5675.87]","[5672.88, 5664.88]","[5608.375, 5619.875, 5644.375, 5668.125]",5667.5368,{},Above VAH,Above VAH,False,False
ESS,2025-04-01 16:15:00,2025-04-01 16:29:00,15min,5678.75,5683.5,5670.5,5672.75,68694.0,5682.75,5676.75,5677.0,5680.125,0.35986262112821077,-0.9771915170823813,P-shape,1.24,"[5673.62, 5671.25]",[5675.13],"[5608.375, 5619.875, 5644.375, 5668.125, 5680.125]",5678.2401,{},Above VAH,Within Value Area,False,False
ESS,2025-04-01 16:30:00,2025-04-01 16:44:00,15min,5672.75,5677.5,5666.5,5676.0,54937.0,5674.25,5669.25,5672.0,5671.625,-0.9693495850106397,0.10061010928121682,normal,1.06,"[5677.12, 5666.62]",[],"[5608.375, 5619.875, 5644.375, 5680.125, 5671.625]",5671.7736,{},Below VAL,Below VAL,False,False
